1774404635507	18	PLAYER HotDog99	TASK_COMPLETED	on_the_run_task
1774404635509	18	PLAYER Gemini Twin	CONNECTED	TILE 3212,3428,0
1774404636094	19	PLAYER SparrowS	TASK_COMPLETED	hang_on_to_something_task
1774404636094	19	BOT SpecklSpeck	START_ACTIVITY	go_to_lumbridge_combat_tutors
1774404636095	19	BOT CommanderC	START_ACTIVITY	deposit_all_bank
1774404636095	19	BOT Gibbery	START_RESOLVER	equip_items	kill_freds_chickens_attack
1774404636095	19	BOT Gemini Twin	ASSIGNED	magic_tutor
1774404636111	19	PLAYER RedFootRed	TASK_COMPLETED	on_the_run_task
1774404636111	19	PLAYER SpecklSpeck	TASK_COMPLETED	on_the_run_task
1774404636111	19	PLAYER Shellder	TASK_COMPLETED	on_the_run_task
1774404636114	19	PLAYER ZetaZero	CONNECTED	TILE 3095,3241,0
1774404636695	20	PLAYER Blastoise	TASK_COMPLETED	hang_on_to_something_task
1774404636696	20	BOT KindaSort	START_ACTIVITY	go_to_bank
1774404636696	20	BOT Gibbery	START_ACTIVITY	equip_items
1774404636697	20	BOT ZetaZero	ASSIGNED	varrock_copper_mining
1774404636709	20	PLAYER KindaSort	TASK_COMPLETED	on_the_run_task
1774404636711	20	PLAYER LongHair	CONNECTED	TILE 3222,3220,0
1774404637295	21	BOT TunaTodd	COMPLETED	deposit_all_bank
1774404637296	21	PLAYER SphinxSam	TASK_COMPLETED	hang_on_to_something_task
1774404637297	21	BOT CommanderC	START_ACTIVITY	go_to_bank
1774404637297	21	PLAYER Gibbery	TASK_COMPLETED	armed_and_dangerous_task
1774404637297	21	BOT Gemini Twin	FAILED	magic_tutor	Requirement(BotInventorySetup(items=[BotItem(ids=[air_rune], min=30, max=null, usable=false, equippable=false), BotItem(ids=[mind_rune], min=30, max=null, usable=false, equippable=false)]))	0	BotInterfaceOption
1774404637299	21	BOT ZetaZero	START_RESOLVER	deposit_all_bank	varrock_copper_mining
1774404637299	21	BOT LongHair	ASSIGNED	kill_freds_chickens_defence
1774404637314	21	PLAYER CommanderC	TASK_COMPLETED	on_the_run_task
1774404637316	21	PLAYER ElbowEd	CONNECTED	TILE 3222,3219,0
1774404637896	22	BOT TunaTodd	START_RESOLVER	withdraw_from_bank	draynor_east_trees
1774404637896	22	BOT SparrowS	COMPLETED	deposit_all_bank
1774404637896	22	BOT Gemini Twin	ASSIGNED	lumbridge_pickpocketing
1774404637896	22	BOT ZetaZero	START_ACTIVITY	deposit_all_bank
1774404637897	22	BOT LongHair	START_RESOLVER	equip_items	kill_freds_chickens_defence
1774404637897	22	BOT ElbowEd	ASSIGNED	lumbridge_north_tree_cutting
1774404637911	22	PLAYER AugustAce	CONNECTED	TILE 3212,3429,0
1774404638501	23	PLAYER HotDog99	TASK_COMPLETED	hang_on_to_something_task
1774404638502	23	PLAYER RedFootRed	TASK_COMPLETED	hang_on_to_something_task
1774404638502	23	BOT TunaTodd	START_ACTIVITY	withdraw_from_bank
1774404638502	23	BOT SparrowS	START_RESOLVER	withdraw_from_bank	varrock_east_tin_mining
1774404638503	23	BOT Blastoise	COMPLETED	deposit_all_bank
1774404638503	23	PLAYER Shellder	TASK_COMPLETED	hang_on_to_something_task
1774404638503	23	BOT Gemini Twin	START_RESOLVER	go_to_area	lumbridge_pickpocketing
1774404638503	23	BOT LongHair	START_ACTIVITY	equip_items
1774404638503	23	BOT ElbowEd	START_RESOLVER	deposit_all_bank	lumbridge_north_tree_cutting
1774404638503	23	BOT AugustAce	ASSIGNED	varrock_tin_mining
1774404638519	23	PLAYER Amak	CONNECTED	TILE 3095,3243,0
1774404639102	24	BOT SparrowS	START_ACTIVITY	withdraw_from_bank
1774404639102	24	BOT Blastoise	START_RESOLVER	withdraw_from_bank	draynor_north_trees
1774404639102	24	BOT SphinxSam	COMPLETED	deposit_all_bank
1774404639102	24	BOT Gibbery	COMPLETED	equip_items
1774404639102	24	BOT Gemini Twin	START_ACTIVITY	go_to_area
1774404639103	24	PLAYER LongHair	TASK_COMPLETED	armed_and_dangerous_task
1774404639103	24	BOT ElbowEd	START_ACTIVITY	deposit_all_bank
1774404639103	24	BOT AugustAce	START_RESOLVER	deposit_all_bank	varrock_tin_mining
1774404639103	24	BOT Amak	ASSIGNED	lumbridge_copper_mining
1774404639115	24	PLAYER ZetaZero	TASK_COMPLETED	on_the_run_task
1774404639117	24	PLAYER ToadLizard	CONNECTED	TILE 3221,3218,0
1774404639703	25	BOT Vindicta	COMPLETED	go_to_bank
1774404639703	25	BOT Blastoise	START_ACTIVITY	withdraw_from_bank
1774404639703	25	BOT SphinxSam	START_RESOLVER	withdraw_from_bank	lumbridge_cow_tree_cutting
1774404639703	25	BOT Gibbery	START_RESOLVER	deposit_all_bank	kill_freds_chickens_attack
1774404639703	25	BOT AugustAce	START_ACTIVITY	deposit_all_bank
1774404639703	25	BOT Amak	START_RESOLVER	deposit_all_bank	lumbridge_copper_mining
1774404639703	25	BOT ToadLizard	ASSIGNED	lumbridge_pickpocketing
1774404639722	25	PLAYER SundayFun	CONNECTED	TILE 3221,3217,0
1774404640306	26	BOT HotDog99	COMPLETED	deposit_all_bank
1774404640306	26	BOT RedFootRed	COMPLETED	deposit_all_bank
1774404640306	26	BOT SphinxSam	START_ACTIVITY	withdraw_from_bank
1774404640306	26	BOT Shellder	COMPLETED	deposit_all_bank
1774404640306	26	BOT Gibbery	START_ACTIVITY	deposit_all_bank
1774404640306	26	BOT Gemini Twin	START_ACTIVITY	teleport_lumbridge
1774404640306	26	BOT ElbowEd	START_ACTIVITY	go_to_bank
1774404640306	26	BOT Amak	START_ACTIVITY	deposit_all_bank
1774404640306	26	BOT ToadLizard	START_RESOLVER	go_to_area	lumbridge_pickpocketing
1774404640306	26	BOT SundayFun	ASSIGNED	melee_tutor_strength
1774404640321	26	PLAYER ElbowEd	TASK_COMPLETED	on_the_run_task
